folder,file,phase,iteration,input_len,kvcache,modality,bandwidth,arcc,direction,mean_ttft_ms,std_ttft_ms,mean_itl_ms,total_token_throughput
benchmark_result_0821,ds-0822-arcc-disk-800g.json,prefill,3,100000,disk-arcc-800g,Local Disk,800g,Y,N/A,39281.23195914057,12474.118049940822,0.0,36624.79094440716
benchmark_result_0821,ds-0821-disk-400g.json,prefill,1,100,disk,Local Disk,400g,N,N/A,745.3349707799498,389.9056777041451,0.0,2049.9291828709643
benchmark_result_0821,ds-0821-disk-400g.json,prefill,2,100,disk,Local Disk,400g,N,N/A,88.45950442020694,15.44580955683036,0.0,15292.22943567406
benchmark_result_0821,ds-0821-disk-400g.json,prefill,3,100,disk,Local Disk,400g,N,N/A,87.25308472006873,11.165150450717366,0.0,15485.830720761995
benchmark_result_0821,ds-0821-disk-400g.json,prefill,1,1000,disk,Local Disk,400g,N,N/A,1765.9082836199013,830.2732286369301,0.0,8310.01515738807
benchmark_result_0821,ds-0821-disk-400g.json,prefill,2,1000,disk,Local Disk,400g,N,N/A,136.85295637995296,21.113402629096196,0.0,103048.14722541974
benchmark_result_0821,ds-0821-disk-400g.json,prefill,3,1000,disk,Local Disk,400g,N,N/A,136.72548066009767,20.95774439744145,0.0,103061.19482756624
benchmark_result_0821,ds-0821-disk-400g.json,prefill,1,10000,disk,Local Disk,400g,N,N/A,14372.59779086009,4826.528236884849,0.0,9502.668958310769
benchmark_result_0821,ds-0821-disk-400g.json,prefill,2,10000,disk,Local Disk,400g,N,N/A,676.5222711598108,134.11897678858045,0.0,231275.34964527035
benchmark_result_0821,ds-0821-disk-400g.json,prefill,3,10000,disk,Local Disk,400g,N,N/A,676.9780121000076,134.56146557333798,0.0,231175.74346699068
benchmark_result_0821,ds-0821-disk-400g.json,prefill,1,50000,disk,Local Disk,400g,N,N/A,151817.27772222008,61480.304219398204,0.0,4384.655175948506
benchmark_result_0821,ds-0821-disk-400g.json,prefill,2,50000,disk,Local Disk,400g,N,N/A,29800.87704059959,18804.651559336395,0.0,25007.055132934216
benchmark_result_0821,ds-0821-disk-400g.json,prefill,3,50000,disk,Local Disk,400g,N,N/A,29331.379141120342,15337.593476606851,0.0,24819.312365859616
benchmark_result_0821,ds-0821-disk-400g.json,prefill,1,100000,disk,Local Disk,400g,N,N/A,440125.16810486,156626.0957304005,0.0,3101.290994900742
benchmark_result_0821,ds-0821-disk-400g.json,prefill,2,100000,disk,Local Disk,400g,N,N/A,89696.89877962002,32459.939652544585,0.0,16221.994420444471
benchmark_result_0821,ds-0821-disk-400g.json,prefill,3,100000,disk,Local Disk,400g,N,N/A,96204.15384986009,32306.573312171102,0.0,15185.34302059327
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,1,100,disk-400g,Local Disk,400g,Y,N/A,820.8621925979969,409.0854721051561,34.065420397497576,1028.17667104022
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,2,100,disk-400g,Local Disk,400g,Y,N/A,89.80645475021447,18.939469094398845,30.995021549997066,1880.740816621404
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,3,100,disk-400g,Local Disk,400g,Y,N/A,87.57445074661518,20.074959184108074,31.145617318505078,1884.4638551809787
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,1,1000,disk-400g,Local Disk,400g,Y,N/A,1060.570453199034,603.2164160829661,104.83135277239649,4794.637989444848
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,2,1000,disk-400g,Local Disk,400g,Y,N/A,134.77545984933386,41.72255012094961,32.60452735272092,15007.884150872678
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,3,1000,disk-400g,Local Disk,400g,Y,N/A,135.11962575212237,41.98719924170476,32.52794078803627,15027.638611882265
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,1,10000,disk-400g,Local Disk,400g,Y,N/A,7484.2080454021925,5112.002211110344,537.5687399164211,8977.368373240904
benchmark_result_0822,ds-0822-arcc-disk-400g.json,prefill,2,10000,disk-400g,Local Disk,400g,Y,N/A,582.5424916518386,242.8036439712947,41.707690689509036,88124.10767472572
